ID	HMDB_ID	standard_metName	metName	Gene_name	Protein_name	Evidence	Annotation
665	HMDB0001547	Corticosterone	Corticosterone	NR3C2	Mineralocorticoid receptor	Cellinker	Nuclear Receptor
666	HMDB0002103	27-Hydroxycholesterol	27-Hydroxycholesterol	GPR183	G-protein coupled receptor 183	Cellinker	Receptor
667	HMDB0002103	27-Hydroxycholesterol	27-Hydroxycholesterol	NR1H3	Oxysterols receptor LXR-alpha	Cellinker	Nuclear Receptor
668	HMDB0002103	27-Hydroxycholesterol	27-Hydroxycholesterol	NR1H2	Oxysterols receptor LXR-beta	Cellinker	Receptor
669	HMDB0002183	Docosahexaenoic acid	Docosahexaenoic acid	FFAR1	Free fatty acid receptor 1	Cellinker	Receptor
670	HMDB0002200	Leukotriene E4	Leukotriene E4	CYSLTR1	Cysteinyl leukotriene receptor 1	Cellinker	Receptor
671	HMDB0002200	Leukotriene E4	Leukotriene E4	CYSLTR2	Cysteinyl leukotriene receptor 2	Cellinker	Receptor
672	HMDB0002710	Prostaglandin J2	Prostaglandin J2	PTGDR	Prostaglandin D2 receptor	Cellinker	Receptor
673	HMDB0002710	Prostaglandin J2	Prostaglandin J2	PTGDR2	Prostaglandin D2 receptor 2	Cellinker	Receptor
674	HMDB0003080	Leukotriene D4	Leukotriene D4	KCNJ5	G protein-activated inward rectifier potassium channel 4	Cellinker	Channel
675	HMDB0003080	Leukotriene D4	Leukotriene D4	KCNQ2	Potassium voltage-gated channel subfamily KQT member 2	Cellinker	Channel
676	HMDB0003080	Leukotriene D4	Leukotriene D4	KCNQ4	Potassium voltage-gated channel subfamily KQT member 4	Cellinker	Channel
677	HMDB0003378	Nitric oxide	Nitric oxide	GUCY1B1	Guanylate cyclase soluble subunit beta-1	Cellinker	Enzyme
678	HMDB0003378	Nitric oxide	Nitric oxide	GUCY1B2	Guanylate cyclase soluble subunit beta-2	Cellinker	Enzyme
679	HMDB0003378	Nitric oxide	Nitric oxide	GUCY1A1	Guanylate cyclase soluble subunit alpha-1	Cellinker	Enzyme
680	HMDB0003378	Nitric oxide	Nitric oxide	GUCY1A2	Guanylate cyclase soluble subunit alpha-2	Cellinker	Enzyme
681	HMDB0003406	D-Serine	D-Serine	GRIN2A	Glutamate receptor ionotropic, NMDA 2A	Cellinker	Receptor
682	HMDB0003406	D-Serine	D-Serine	GRIN2B	Glutamate receptor ionotropic, NMDA 2B	Cellinker	Receptor
683	HMDB0003406	D-Serine	D-Serine	GRIN2C	Glutamate receptor ionotropic, NMDA 2C	Cellinker	Receptor
684	HMDB0003406	D-Serine	D-Serine	GRIN2D	Glutamate receptor ionotropic, NMDA 2D	Cellinker	Receptor
685	HMDB0003848	D-myo-Inositol 3,4,5,6-tetrakisphosphate	D-myo-Inositol 3,4,5,6-tetrakisphosphate	ANO1	Anoctamin-1	Cellinker	Channel
